Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Fetching 18 files:   0%|          | 0/18 [00:00<?, ?it/s]Fetching 18 files: 100%|██████████| 18/18 [00:00<00:00, 1404.40it/s]
Loading weights:   0%|          | 0/851 [00:00<?, ?it/s]Loading weights:   0%|          | 1/851 [00:00<05:30,  2.57it/s]Loading weights:   0%|          | 2/851 [00:00<06:14,  2.27it/s]Loading weights:   2%|▏         | 13/851 [00:00<00:43, 19.27it/s]Loading weights:   2%|▏         | 18/851 [00:01<00:34, 24.22it/s]Loading weights:   3%|▎         | 27/851 [00:01<00:25, 32.27it/s]Loading weights:   4%|▍         | 38/851 [00:01<00:18, 44.53it/s]Loading weights:   5%|▌         | 44/851 [00:01<00:18, 42.49it/s]Loading weights:   6%|▌         | 50/851 [00:01<00:19, 41.60it/s]Loading weights:   7%|▋         | 63/851 [00:01<00:13, 58.13it/s]Loading weights:   8%|▊         | 70/851 [00:02<00:15, 50.68it/s]Loading weights:   9%|▉         | 77/851 [00:02<00:16, 46.97it/s]Loading weights:  11%|█         | 91/851 [00:02<00:11, 64.98it/s]Loading weights:  12%|█▏        | 99/851 [00:02<00:14, 53.15it/s]Loading weights:  12%|█▏        | 106/851 [00:02<00:14, 52.98it/s]Loading weights:  14%|█▎        | 116/851 [00:02<00:11, 62.71it/s]Loading weights:  15%|█▍        | 124/851 [00:02<00:13, 55.67it/s]Loading weights:  16%|█▌        | 133/851 [00:03<00:12, 59.45it/s]Loading weights:  16%|█▋        | 140/851 [00:03<00:11, 59.78it/s]Loading weights:  17%|█▋        | 147/851 [00:03<00:12, 58.31it/s]Loading weights:  18%|█▊        | 154/851 [00:03<00:16, 43.55it/s]Loading weights:  20%|█▉        | 168/851 [00:03<00:11, 61.83it/s]Loading weights:  21%|██        | 176/851 [00:03<00:12, 53.48it/s]Loading weights:  22%|██▏       | 184/851 [00:04<00:11, 55.71it/s]Loading weights:  22%|██▏       | 191/851 [00:04<00:11, 57.98it/s]Loading weights:  24%|██▎       | 200/851 [00:04<00:10, 61.39it/s]Loading weights:  24%|██▍       | 207/851 [00:04<00:14, 44.37it/s]Loading weights:  26%|██▌       | 221/851 [00:04<00:10, 59.98it/s]Loading weights:  27%|██▋       | 229/851 [00:04<00:11, 54.11it/s]Loading weights:  28%|██▊       | 239/851 [00:04<00:10, 60.02it/s]Loading weights:  29%|██▉       | 246/851 [00:05<00:10, 60.20it/s]Loading weights:  30%|██▉       | 253/851 [00:05<00:10, 58.87it/s]Loading weights:  31%|███       | 260/851 [00:05<00:13, 43.91it/s]Loading weights:  32%|███▏      | 272/851 [00:05<00:10, 56.03it/s]Loading weights:  33%|███▎      | 279/851 [00:05<00:11, 51.79it/s]Loading weights:  34%|███▍      | 290/851 [00:05<00:09, 58.81it/s]Loading weights:  35%|███▌      | 301/851 [00:06<00:08, 68.59it/s]Loading weights:  36%|███▋      | 309/851 [00:06<00:09, 57.39it/s]Loading weights:  37%|███▋      | 316/851 [00:06<00:10, 50.96it/s]Loading weights:  38%|███▊      | 326/851 [00:06<00:08, 60.90it/s]Loading weights:  39%|███▉      | 333/851 [00:06<00:09, 54.63it/s]Loading weights:  41%|████      | 345/851 [00:06<00:09, 53.81it/s]Loading weights:  42%|████▏     | 359/851 [00:07<00:08, 55.01it/s]Loading weights:  43%|████▎     | 366/851 [00:07<00:09, 52.91it/s]Loading weights:  45%|████▍     | 380/851 [00:07<00:06, 69.12it/s]Loading weights:  46%|████▌     | 388/851 [00:07<00:08, 57.62it/s]Loading weights:  47%|████▋     | 398/851 [00:07<00:07, 62.50it/s]Loading weights:  48%|████▊     | 406/851 [00:08<00:09, 47.46it/s]Loading weights:  49%|████▉     | 417/851 [00:08<00:07, 57.66it/s]Loading weights:  50%|████▉     | 425/851 [00:08<00:07, 54.61it/s]Loading weights:  51%|█████     | 434/851 [00:08<00:07, 53.60it/s]Loading weights:  53%|█████▎    | 448/851 [00:08<00:05, 70.74it/s]Loading weights:  54%|█████▎    | 457/851 [00:08<00:06, 62.11it/s]Loading weights:  55%|█████▍    | 465/851 [00:08<00:06, 57.07it/s]Loading weights:  55%|█████▌    | 472/851 [00:09<00:07, 48.30it/s]Loading weights:  57%|█████▋    | 484/851 [00:09<00:06, 59.18it/s]Loading weights:  58%|█████▊    | 491/851 [00:09<00:06, 58.87it/s]Loading weights:  59%|█████▊    | 499/851 [00:09<00:05, 62.47it/s]Loading weights:  59%|█████▉    | 506/851 [00:09<00:06, 56.15it/s]Loading weights:  61%|██████    | 517/851 [00:09<00:05, 65.31it/s]Loading weights:  62%|██████▏   | 524/851 [00:10<00:07, 46.57it/s]Loading weights:  63%|██████▎   | 538/851 [00:10<00:05, 61.91it/s]Loading weights:  64%|██████▍   | 546/851 [00:10<00:05, 55.56it/s]Loading weights:  65%|██████▌   | 554/851 [00:10<00:05, 56.63it/s]Loading weights:  66%|██████▌   | 561/851 [00:10<00:05, 58.00it/s]Loading weights:  67%|██████▋   | 571/851 [00:10<00:04, 63.34it/s]Loading weights:  68%|██████▊   | 578/851 [00:11<00:05, 50.10it/s]Loading weights:  69%|██████▉   | 589/851 [00:11<00:05, 48.23it/s]Loading weights:  71%|███████   | 604/851 [00:11<00:03, 65.74it/s]Loading weights:  72%|███████▏  | 612/851 [00:11<00:03, 61.16it/s]Loading weights:  73%|███████▎  | 622/851 [00:11<00:03, 67.65it/s]Loading weights:  74%|███████▍  | 630/851 [00:11<00:03, 55.99it/s]Loading weights:  75%|███████▍  | 637/851 [00:11<00:03, 56.91it/s]Loading weights:  76%|███████▌  | 647/851 [00:12<00:03, 62.08it/s]Loading weights:  77%|███████▋  | 658/851 [00:12<00:02, 69.89it/s]Loading weights:  78%|███████▊  | 666/851 [00:12<00:03, 57.97it/s]Loading weights:  80%|███████▉  | 677/851 [00:12<00:02, 64.54it/s]Loading weights:  80%|████████  | 684/851 [00:12<00:03, 47.45it/s]Loading weights:  82%|████████▏ | 698/851 [00:12<00:02, 64.26it/s]Loading weights:  83%|████████▎ | 707/851 [00:13<00:02, 56.74it/s]Loading weights:  84%|████████▍ | 716/851 [00:13<00:02, 59.74it/s]Loading weights:  85%|████████▍ | 723/851 [00:13<00:02, 59.94it/s]Loading weights:  86%|████████▌ | 730/851 [00:13<00:02, 58.69it/s]Loading weights:  87%|████████▋ | 737/851 [00:13<00:02, 43.79it/s]Loading weights:  88%|████████▊ | 751/851 [00:13<00:01, 59.32it/s]Loading weights:  89%|████████▉ | 758/851 [00:14<00:01, 52.41it/s]Loading weights:  90%|█████████ | 769/851 [00:14<00:01, 60.05it/s]Loading weights:  91%|█████████ | 776/851 [00:14<00:01, 59.77it/s]Loading weights:  92%|█████████▏| 783/851 [00:14<00:01, 58.71it/s]Loading weights:  93%|█████████▎| 790/851 [00:14<00:01, 43.74it/s]Loading weights:  94%|█████████▍| 804/851 [00:14<00:00, 61.60it/s]Loading weights:  95%|█████████▌| 812/851 [00:15<00:00, 53.01it/s]Loading weights:  97%|█████████▋| 822/851 [00:15<00:00, 58.30it/s]Loading weights:  97%|█████████▋| 829/851 [00:15<00:00, 58.83it/s]Loading weights:  98%|█████████▊| 836/851 [00:15<00:00, 52.74it/s]Loading weights:  99%|█████████▉| 842/851 [00:15<00:00, 43.19it/s]Loading weights: 100%|██████████| 851/851 [00:15<00:00, 53.92it/s]
79 fragile clean-looking tokens, 20 glitch tokens
            ' оказаться' frag 0.96  modes: substitution, deletion, substitution, correct
             ' Председа' frag 0.96  modes: substitution, correct, correct, correct
                  'стит' frag 0.96  modes: substitution, substitution, substitution, correct
                  ' 아버지' frag 0.92  modes: truncation, truncation, truncation, correct
                   'мой' frag 0.88  modes: substitution, substitution, substitution, correct
                ' грунт' frag 0.79  modes: substitution, substitution, substitution, correct
                ' adecu' frag 0.75  modes: substitution, substitution, substitution, correct
                 ' 않습니다' frag 0.75  modes: substitution, substitution, substitution, correct
         ' individuales' frag 0.71  modes: substitution, substitution, substitution, correct
         ' espectacular' frag 0.62  modes: substitution, substitution, substitution, correct
             ' половину' frag 0.62  modes: substitution, substitution, substitution, correct
               ' الديمق' frag 0.58  modes: correct, correct, correct, correct
              ' المناسب' frag 0.58  modes: substitution, substitution, substitution, correct
                  ' وته' frag 0.58  modes: substitution, substitution, substitution, correct
             ' директор' frag 0.54  modes: truncation, truncation, truncation, correct
           ' certamente' frag 0.54  modes: substitution, substitution, substitution, correct
               ' здании' frag 0.50  modes: substitution, substitution, substitution, correct
          ' проводиться' frag 0.46  modes: substitution, substitution, substitution, correct
           ' diinginkan' frag 0.46  modes: substitution, substitution, substitution, correct
               ' وزيادة' frag 0.42  modes: substitution, substitution, substitution, correct
                   'ņem' frag 0.42  modes: truncation, truncation, truncation, correct
            ' acidentes' frag 0.38  modes: substitution, substitution, substitution, correct
             ' przedsta' frag 0.33  modes: substitution, correct, substitution, correct
             ' универса' frag 0.33  modes: correct, correct, correct, correct
                   ' సి' frag 0.29  modes: substitution, substitution, substitution, correct
                ' anzus' frag 0.29  modes: correct, correct, correct, correct
                    ' 불' frag 0.29  modes: substitution, substitution, substitution, correct
                    'രു' frag 0.25  modes: substitution, substitution, substitution, correct
                 ' 영업이익' frag 0.25  modes: truncation, truncation, truncation, correct
              'ตะวันออก' frag 0.25  modes: correct, correct, correct, correct
                   ' 세상' frag 0.25  modes: truncation, truncation, truncation, correct
              ' eksklus' frag 0.21  modes: substitution, substitution, substitution, correct
               ' membut' frag 0.21  modes: correct, correct, correct, correct
                     'ೈ' frag 0.21  modes: substitution, deletion, substitution, correct
                ' الصحف' frag 0.21  modes: substitution, correct, correct, correct
            ' ближайшее' frag 0.21  modes: substitution, deletion, substitution, correct
                   ' โร' frag 0.21  modes: substitution, correct, correct, correct
               ' الملكي' frag 0.21  modes: substitution, substitution, correct, correct
          ' investitori' frag 0.21  modes: correct, correct, correct, correct
                  'чаем' frag 0.17  modes: substitution, substitution, correct, correct
              ' persegu' frag 0.17  modes: substitution, correct, correct, correct
              ' територ' frag 0.17  modes: substitution, correct, correct, correct
              ' اليومية' frag 0.17  modes: substitution, substitution, correct, correct
                   ' まと' frag 0.17  modes: substitution, substitution, correct, correct
                    'ிய' frag 0.17  modes: substitution, substitution, substitution, correct
                  ' 있었다' frag 0.17  modes: substitution, truncation, truncation, correct
              ' bestimm' frag 0.17  modes: substitution, substitution, correct, correct
                ' 웹사이트가' frag 0.17  modes: correct, correct, correct, correct
                   'ನ್ನ' frag 0.12  modes: substitution, substitution, correct, correct
              ' ricette' frag 0.12  modes: correct, correct, correct, correct
                   ' 주도' frag 0.12  modes: truncation, truncation, truncation, correct
                  'лага' frag 0.12  modes: substitution, correct, correct, correct
               ' стране' frag 0.12  modes: substitution, substitution, correct, correct
              ' удобным' frag 0.12  modes: substitution, substitution, substitution, correct
               ' bertem' frag 0.12  modes: correct, correct, correct, correct
                ' todėl' frag 0.12  modes: substitution, correct, correct, correct
        ' costantemente' frag 0.12  modes: substitution, substitution, substitution, correct
                 'ренда' frag 0.08  modes: substitution, correct, correct, correct
              ' объемом' frag 0.08  modes: correct, correct, correct, correct
            ' WebDriver' frag 0.08  modes: substitution, substitution, correct, correct
               ' sindac' frag 0.08  modes: correct, correct, correct, correct
             ' cambiato' frag 0.08  modes: truncation, correct, correct, correct
           ' présentent' frag 0.08  modes: truncation, correct, correct, correct
               ' الخدمة' frag 0.08  modes: truncation, truncation, correct, correct
             ' конкурса' frag 0.08  modes: truncation, correct, correct, correct
        ' dichiarazioni' frag 0.08  modes: substitution, substitution, correct, correct
             ' ежегодно' frag 0.08  modes: substitution, substitution, correct, correct
             ' kokemuks' frag 0.08  modes: correct, correct, correct, correct
                ' Китая' frag 0.08  modes: substitution, correct, correct, correct
                  ' تحد' frag 0.08  modes: truncation, truncation, correct, correct
                ' النقد' frag 0.08  modes: substitution, correct, correct, correct
                 ' الهي' frag 0.08  modes: substitution, correct, correct, correct
                'кладки' frag 0.08  modes: substitution, correct, correct, correct
                  ' أخر' frag 0.08  modes: correct, correct, correct, correct
              ' фруктов' frag 0.08  modes: substitution, substitution, correct, correct
               ' Copies' frag 0.08  modes: correct, correct, correct, correct
                    'ார' frag 0.08  modes: substitution, correct, correct, correct
              ' unseres' frag 0.08  modes: correct, correct, correct, correct
                   ' رو' frag 0.08  modes: substitution, substitution, correct, correct
    ' ForCanBeConverted' frag 1.00  modes: deletion, deletion, deletion, substitution
             'echslungs' frag 1.00  modes: substitution, substitution, substitution, substitution
                ' szexf' frag 1.00  modes: deletion, deletion, deletion, deletion
              ' Несмотр' frag 1.00  modes: substitution, substitution, substitution, correct
              ' долгове' frag 1.00  modes: substitution, substitution, substitution, substitution
          '<|im_start|>' frag 1.00  modes: substitution, deletion, deletion, deletion
                '@index' frag 0.04  modes: correct, correct, correct, correct
                 'снове' frag 0.96  modes: substitution, substitution, substitution, correct
       ' โรงแรมบรรยากาศ' frag 1.00  modes: substitution, substitution, substitution, substitution
                '(stypy' frag 1.00  modes: substitution, substitution, truncation, correct
             '$category' frag 0.00  modes: correct, correct, correct, correct
               '.xticks' frag 0.00  modes: correct, correct, correct, correct
                 '.byId' frag 0.00  modes: correct, correct, correct, correct
                 '.icon' frag 0.00  modes: correct, correct, correct, correct
         '.fromFunction' frag 0.04  modes: correct, correct, correct, correct
                  '.syn' frag 0.00  modes: correct, correct, correct, correct
                   '_ET' frag 0.00  modes: correct, correct, correct, correct
               '赞赏功能被关闭' frag 1.00  modes: substitution, substitution, substitution, substitution
                   '_SU' frag 0.00  modes: correct, correct, correct, correct
                '.react' frag 0.00  modes: correct, correct, correct, correct

396 specimen records -> results/specimens_qwen38_27b_greedy.jsonl
markdown -> docs/specimens_qwen38_27b_greedy.md
