Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/355 [00:00<?, ?it/s]Loading weights:  13%|█▎        | 45/355 [00:00<00:00, 445.10it/s]Loading weights:  25%|██▌       | 90/355 [00:00<00:00, 433.18it/s]Loading weights:  38%|███▊      | 134/355 [00:00<00:00, 422.65it/s]Loading weights:  50%|████▉     | 177/355 [00:00<00:00, 408.07it/s]Loading weights:  62%|██████▏   | 219/355 [00:00<00:00, 410.99it/s]Loading weights:  74%|███████▎  | 261/355 [00:00<00:00, 410.92it/s]Loading weights:  85%|████████▌ | 303/355 [00:00<00:00, 410.57it/s]Loading weights:  97%|█████████▋| 345/355 [00:00<00:00, 413.32it/s]Loading weights: 100%|██████████| 355/355 [00:00<00:00, 424.44it/s]
37 fragile clean-looking tokens, 20 glitch tokens
            ' according' frag 0.92  modes: deletion, deletion, deletion, correct
              ' который' frag 0.71  modes: substitution, correct, correct, correct
                ' única' frag 0.54  modes: substitution, truncation, truncation, correct
                   ' 查询' frag 0.46  modes: substitution, substitution, substitution, correct
               ' tienen' frag 0.46  modes: correct, correct, correct, correct
                  ' due' frag 0.42  modes: deletion, deletion, deletion, correct
           ' allerdings' frag 0.42  modes: substitution, correct, correct, correct
                 ' może' frag 0.42  modes: correct, correct, correct, correct
            ' использов' frag 0.33  modes: deletion, correct, correct, correct
               ' strSQL' frag 0.29  modes: substitution, correct, substitution, correct
       ' setContentView' frag 0.25  modes: correct, correct, correct, correct
               ' mentre' frag 0.25  modes: substitution, substitution, substitution, correct
          ' UIResponder' frag 0.25  modes: substitution, correct, correct, correct
               ' функци' frag 0.25  modes: substitution, substitution, substitution, correct
                ' erklä' frag 0.25  modes: substitution, substitution, correct, correct
        ' WebDriverWait' frag 0.21  modes: substitution, substitution, correct, correct
  ' UIImagePickerController' frag 0.17  modes: substitution, correct, correct, correct
               ' enthus' frag 0.17  modes: substitution, substitution, correct, correct
               ' tabBar' frag 0.17  modes: substitution, correct, substitution, correct
                ' cuent' frag 0.17  modes: truncation, correct, substitution, correct
              ' страниц' frag 0.12  modes: substitution, correct, correct, correct
                ' gdzie' frag 0.12  modes: correct, correct, correct, correct
                    ' .' frag 0.12  modes: deletion, deletion, correct, correct
                ' indeb' frag 0.12  modes: truncation, correct, correct, correct
                   ' 사용' frag 0.12  modes: correct, correct, correct, correct
             ' memiliki' frag 0.12  modes: correct, correct, correct, correct
             ' imprimir' frag 0.12  modes: substitution, correct, correct, correct
                 ' veya' frag 0.12  modes: correct, correct, correct, correct
             ' weakSelf' frag 0.12  modes: correct, correct, correct, correct
               ' selbst' frag 0.08  modes: correct, correct, correct, correct
               ' aValue' frag 0.08  modes: correct, truncation, correct, correct
               ' сохран' frag 0.08  modes: correct, correct, correct, correct
                  ' Own' frag 0.08  modes: deletion, correct, correct, correct
                 ' tête' frag 0.08  modes: substitution, correct, correct, correct
                   ' Gö' frag 0.08  modes: correct, substitution, correct, correct
                 ' Ness' frag 0.08  modes: substitution, correct, correct, correct
               ' mouseX' frag 0.08  modes: substitution, correct, correct, correct
            ' PodsDummy' frag 1.00  modes: deletion, substitution, substitution, substitution
        '<|fim_prefix|>' frag 1.00  modes: deletion, substitution, deletion, substitution
            '<|im_end|>' frag 1.00  modes: deletion, substitution, substitution, substitution
  ' ForCanBeConvertedToForeach' frag 1.00  modes: substitution, substitution, substitution, substitution
                'useRal' frag 1.00  modes: deletion, substitution, deletion, substitution
                ')paren' frag 1.00  modes: substitution, substitution, substitution, truncation
         '.SuppressLint' frag 1.00  modes: substitution, substitution, substitution, substitution
       'addPreferredGap' frag 1.00  modes: substitution, substitution, substitution, substitution
        '<|extra_id_0|>' frag 1.00  modes: substitution, substitution, substitution, substitution
     '.ContentAlignment' frag 1.00  modes: truncation, substitution, substitution, substitution
       '_typeDefinition' frag 1.00  modes: substitution, substitution, substitution, substitution
                  ':)])' frag 1.00  modes: substitution, substitution, substitution, substitution
         ':UIButtonType' frag 1.00  modes: substitution, substitution, substitution, substitution
            'utedString' frag 1.00  modes: substitution, substitution, substitution, correct
            'okableCall' frag 1.00  modes: substitution, substitution, substitution, substitution
  ' dequeueReusableCellWithIdentifier' frag 1.00  modes: substitution, substitution, substitution, correct
                 'ketøy' frag 1.00  modes: substitution, substitution, substitution, substitution
                '$fdata' frag 1.00  modes: substitution, substitution, substitution, substitution
     '(MigrationBuilder' frag 1.00  modes: substitution, substitution, substitution, substitution
          '.AdapterView' frag 1.00  modes: substitution, substitution, substitution, correct

228 specimen records -> results/specimens_confident_substitution.jsonl
markdown -> docs/specimens.md
