Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/1601 [00:00<?, ?it/s]Loading weights:   2%|▏         | 38/1601 [00:00<00:18, 86.66it/s]Loading weights:   3%|▎         | 55/1601 [00:00<00:24, 62.25it/s]Loading weights:   4%|▍         | 72/1601 [00:01<00:28, 54.00it/s]Loading weights:   6%|▌         | 89/1601 [00:01<00:30, 50.23it/s]Loading weights:   7%|▋         | 106/1601 [00:01<00:31, 48.07it/s]Loading weights:   8%|▊         | 123/1601 [00:02<00:31, 46.80it/s]Loading weights:   9%|▊         | 140/1601 [00:02<00:31, 46.00it/s]Loading weights:  10%|▉         | 157/1601 [00:03<00:31, 45.30it/s]Loading weights:  11%|█         | 174/1601 [00:03<00:31, 44.85it/s]Loading weights:  12%|█▏        | 191/1601 [00:03<00:31, 44.42it/s]Loading weights:  13%|█▎        | 208/1601 [00:04<00:31, 44.32it/s]Loading weights:  14%|█▍        | 225/1601 [00:04<00:31, 44.31it/s]Loading weights:  15%|█▌        | 242/1601 [00:05<00:30, 44.14it/s]Loading weights:  16%|█▌        | 259/1601 [00:05<00:30, 44.20it/s]Loading weights:  17%|█▋        | 276/1601 [00:05<00:29, 44.22it/s]Loading weights:  18%|█▊        | 293/1601 [00:06<00:29, 44.22it/s]Loading weights:  19%|█▉        | 310/1601 [00:06<00:29, 44.16it/s]Loading weights:  20%|██        | 327/1601 [00:07<00:28, 44.29it/s]Loading weights:  21%|██▏       | 344/1601 [00:07<00:28, 44.33it/s]Loading weights:  23%|██▎       | 361/1601 [00:07<00:27, 44.48it/s]Loading weights:  24%|██▎       | 378/1601 [00:08<00:27, 44.26it/s]Loading weights:  25%|██▍       | 395/1601 [00:08<00:27, 44.39it/s]Loading weights:  26%|██▌       | 412/1601 [00:08<00:26, 44.51it/s]Loading weights:  27%|██▋       | 429/1601 [00:09<00:26, 44.66it/s]Loading weights:  28%|██▊       | 446/1601 [00:09<00:25, 44.51it/s]Loading weights:  29%|██▉       | 463/1601 [00:10<00:25, 44.47it/s]Loading weights:  30%|██▉       | 480/1601 [00:10<00:25, 44.55it/s]Loading weights:  31%|███       | 497/1601 [00:10<00:24, 44.59it/s]Loading weights:  32%|███▏      | 514/1601 [00:11<00:24, 44.50it/s]Loading weights:  33%|███▎      | 531/1601 [00:11<00:24, 44.43it/s]Loading weights:  34%|███▍      | 548/1601 [00:11<00:23, 44.32it/s]Loading weights:  35%|███▌      | 565/1601 [00:12<00:23, 44.27it/s]Loading weights:  36%|███▋      | 582/1601 [00:12<00:23, 44.21it/s]Loading weights:  37%|███▋      | 599/1601 [00:13<00:22, 44.33it/s]Loading weights:  38%|███▊      | 616/1601 [00:13<00:22, 44.24it/s]Loading weights:  40%|███▉      | 633/1601 [00:13<00:21, 44.23it/s]Loading weights:  41%|████      | 650/1601 [00:14<00:21, 44.20it/s]Loading weights:  42%|████▏     | 667/1601 [00:14<00:21, 44.30it/s]Loading weights:  43%|████▎     | 684/1601 [00:15<00:20, 44.29it/s]Loading weights:  44%|████▍     | 701/1601 [00:15<00:20, 44.27it/s]Loading weights:  45%|████▍     | 718/1601 [00:15<00:20, 44.13it/s]Loading weights:  46%|████▌     | 735/1601 [00:16<00:19, 44.25it/s]Loading weights:  47%|████▋     | 752/1601 [00:16<00:19, 44.20it/s]Loading weights:  48%|████▊     | 769/1601 [00:16<00:18, 44.13it/s]Loading weights:  49%|████▉     | 786/1601 [00:17<00:18, 44.32it/s]Loading weights:  50%|█████     | 803/1601 [00:17<00:18, 44.29it/s]Loading weights:  51%|█████     | 820/1601 [00:18<00:17, 44.39it/s]Loading weights:  52%|█████▏    | 837/1601 [00:18<00:17, 44.60it/s]Loading weights:  53%|█████▎    | 854/1601 [00:18<00:16, 44.69it/s]Loading weights:  54%|█████▍    | 871/1601 [00:19<00:16, 44.52it/s]Loading weights:  55%|█████▌    | 888/1601 [00:19<00:16, 44.47it/s]Loading weights:  57%|█████▋    | 905/1601 [00:20<00:15, 44.47it/s]Loading weights:  58%|█████▊    | 922/1601 [00:20<00:15, 44.45it/s]Loading weights:  59%|█████▊    | 939/1601 [00:20<00:14, 44.60it/s]Loading weights:  60%|█████▉    | 956/1601 [00:21<00:14, 44.67it/s]Loading weights:  61%|██████    | 973/1601 [00:21<00:14, 44.75it/s]Loading weights:  62%|██████▏   | 990/1601 [00:21<00:13, 44.77it/s]Loading weights:  63%|██████▎   | 1007/1601 [00:22<00:13, 44.53it/s]Loading weights:  64%|██████▍   | 1024/1601 [00:22<00:12, 44.56it/s]Loading weights:  65%|██████▌   | 1041/1601 [00:23<00:12, 44.50it/s]Loading weights:  66%|██████▌   | 1058/1601 [00:23<00:12, 44.52it/s]Loading weights:  67%|██████▋   | 1075/1601 [00:23<00:11, 44.34it/s]Loading weights:  68%|██████▊   | 1092/1601 [00:24<00:11, 44.40it/s]Loading weights:  69%|██████▉   | 1109/1601 [00:24<00:11, 44.52it/s]Loading weights:  70%|███████   | 1126/1601 [00:24<00:10, 44.57it/s]Loading weights:  71%|███████▏  | 1143/1601 [00:25<00:10, 44.62it/s]Loading weights:  72%|███████▏  | 1160/1601 [00:25<00:09, 44.71it/s]Loading weights:  74%|███████▎  | 1177/1601 [00:26<00:09, 44.75it/s]Loading weights:  75%|███████▍  | 1194/1601 [00:26<00:09, 44.78it/s]Loading weights:  76%|███████▌  | 1211/1601 [00:26<00:08, 44.94it/s]Loading weights:  77%|███████▋  | 1228/1601 [00:27<00:08, 44.81it/s]Loading weights:  78%|███████▊  | 1245/1601 [00:27<00:07, 44.92it/s]Loading weights:  79%|███████▉  | 1262/1601 [00:28<00:07, 44.90it/s]Loading weights:  80%|███████▉  | 1279/1601 [00:28<00:07, 44.78it/s]Loading weights:  81%|████████  | 1296/1601 [00:28<00:06, 44.88it/s]Loading weights:  82%|████████▏ | 1313/1601 [00:29<00:06, 44.98it/s]Loading weights:  83%|████████▎ | 1330/1601 [00:29<00:06, 44.98it/s]Loading weights:  84%|████████▍ | 1347/1601 [00:29<00:05, 44.94it/s]Loading weights:  85%|████████▌ | 1364/1601 [00:30<00:05, 44.74it/s]Loading weights:  86%|████████▋ | 1381/1601 [00:30<00:04, 44.73it/s]Loading weights:  87%|████████▋ | 1398/1601 [00:31<00:04, 44.59it/s]Loading weights:  88%|████████▊ | 1415/1601 [00:31<00:04, 44.61it/s]Loading weights:  89%|████████▉ | 1432/1601 [00:31<00:03, 44.53it/s]Loading weights:  91%|█████████ | 1449/1601 [00:32<00:03, 44.64it/s]Loading weights:  92%|█████████▏| 1466/1601 [00:32<00:03, 44.65it/s]Loading weights:  93%|█████████▎| 1483/1601 [00:32<00:02, 44.57it/s]Loading weights:  94%|█████████▎| 1500/1601 [00:33<00:02, 44.66it/s]Loading weights:  95%|█████████▍| 1517/1601 [00:33<00:01, 44.68it/s]Loading weights:  96%|█████████▌| 1534/1601 [00:34<00:01, 44.42it/s]Loading weights:  97%|█████████▋| 1551/1601 [00:34<00:01, 44.41it/s]Loading weights:  98%|█████████▊| 1568/1601 [00:34<00:00, 44.15it/s]Loading weights:  99%|█████████▉| 1585/1601 [00:35<00:00, 43.75it/s]Loading weights: 100%|██████████| 1601/1601 [00:35<00:00, 45.36it/s]
[transformers] This FP8 model spans multiple CUDA devices in one process; routing its FP8 linear and experts layers through Triton/grouped_mm instead of DeepGEMM (DeepGEMM's cached kernels are bound to a single CUDA context and corrupt across devices). Run tensor/expert parallel (one device per process) to use the faster DeepGEMM path.
80 fragile clean-looking tokens, 20 glitch tokens
Fetching 11 files:   0%|          | 0/11 [00:00<?, ?it/s]Fetching 11 files: 100%|██████████| 11/11 [00:00<00:00, 2173.73it/s]
                     'ཧ' frag 1.00  modes: deletion, deletion, deletion, substitution
                     'ଓ' frag 1.00  modes: deletion, deletion, deletion, substitution
                     '�' frag 1.00  modes: deletion, deletion, deletion, substitution
                     'ঙ' frag 1.00  modes: deletion, deletion, deletion, correct
                     '🚆' frag 1.00  modes: deletion, deletion, substitution, substitution
                     '𝓪' frag 1.00  modes: deletion, deletion, deletion, substitution
                     '💱' frag 1.00  modes: deletion, deletion, deletion, correct
                     '༎' frag 1.00  modes: deletion, deletion, deletion, deletion
                     'ལ' frag 1.00  modes: deletion, deletion, substitution, correct
                     'ම' frag 1.00  modes: deletion, substitution, deletion, deletion
                     '摛' frag 1.00  modes: deletion, deletion, substitution, deletion
                     '搒' frag 1.00  modes: substitution, substitution, deletion, substitution
                   'قرأ' frag 1.00  modes: deletion, substitution, substitution, substitution
                  ' לתת' frag 1.00  modes: substitution, deletion, substitution, correct
                  ' והת' frag 1.00  modes: substitution, substitution, substitution, correct
                   'צבא' frag 1.00  modes: deletion, deletion, substitution, substitution
                   'それぞ' frag 1.00  modes: deletion, substitution, deletion, substitution
                     '렇' frag 1.00  modes: deletion, deletion, deletion, correct
                     '팍' frag 1.00  modes: deletion, deletion, deletion, substitution
                     'ᄀ' frag 1.00  modes: deletion, deletion, deletion, deletion
                   'ביר' frag 1.00  modes: deletion, deletion, deletion, substitution
                     '𝕒' frag 1.00  modes: deletion, deletion, deletion, deletion
                     '⇗' frag 1.00  modes: deletion, deletion, deletion, correct
                  'מוצא' frag 1.00  modes: deletion, deletion, deletion, deletion
                     '赇' frag 1.00  modes: deletion, deletion, deletion, substitution
                   'חשב' frag 1.00  modes: deletion, deletion, substitution, substitution
                     '쩔' frag 1.00  modes: deletion, deletion, substitution, correct
                     'ﻧ' frag 1.00  modes: deletion, deletion, deletion, correct
                     '펙' frag 1.00  modes: deletion, deletion, deletion, correct
                     '윽' frag 1.00  modes: deletion, deletion, substitution, substitution
                     '퐁' frag 1.00  modes: deletion, deletion, deletion, correct
                     '끈' frag 1.00  modes: deletion, deletion, substitution, correct
                     'ﻢ' frag 1.00  modes: deletion, deletion, deletion, deletion
                     '랫' frag 1.00  modes: deletion, deletion, deletion, deletion
                     '僔' frag 1.00  modes: deletion, deletion, deletion, correct
                  'יצור' frag 1.00  modes: deletion, substitution, substitution, substitution
                  'مواف' frag 1.00  modes: deletion, substitution, substitution, substitution
                  'コンテン' frag 1.00  modes: substitution, deletion, deletion, substitution
                     'ﻳ' frag 1.00  modes: deletion, deletion, deletion, substitution
                   'بدو' frag 1.00  modes: substitution, substitution, deletion, substitution
                   'تها' frag 1.00  modes: substitution, substitution, substitution, correct
                  'شهور' frag 1.00  modes: substitution, substitution, substitution, correct
                ' พฤษภา' frag 1.00  modes: deletion, substitution, deletion, deletion
           'профессиона' frag 1.00  modes: substitution, substitution, substitution, deletion
                     '阗' frag 1.00  modes: deletion, deletion, deletion, substitution
                'احتجاج' frag 1.00  modes: substitution, substitution, deletion, substitution
                   'חוץ' frag 1.00  modes: deletion, deletion, deletion, substitution
                  'عالج' frag 1.00  modes: deletion, substitution, substitution, deletion
                  'عطاء' frag 1.00  modes: deletion, deletion, substitution, correct
             'оличество' frag 1.00  modes: substitution, substitution, substitution, substitution
                  'جزاء' frag 1.00  modes: substitution, deletion, deletion, substitution
                   'شغل' frag 1.00  modes: substitution, deletion, deletion, correct
                    'شت' frag 1.00  modes: substitution, substitution, substitution, correct
                   'طحن' frag 1.00  modes: deletion, deletion, deletion, substitution
                   'שאר' frag 1.00  modes: deletion, deletion, deletion, substitution
                   'גות' frag 1.00  modes: deletion, deletion, deletion, substitution
                     '镘' frag 1.00  modes: deletion, deletion, substitution, correct
                     'ὂ' frag 1.00  modes: deletion, deletion, deletion, correct
                     'ጽ' frag 1.00  modes: deletion, substitution, deletion, deletion
                  'حرية' frag 0.96  modes: substitution, deletion, substitution, correct
                    'גה' frag 0.96  modes: deletion, deletion, substitution, correct
                  'יוני' frag 0.96  modes: deletion, deletion, substitution, correct
                     '嗐' frag 0.96  modes: deletion, deletion, substitution, correct
                     '蹒' frag 0.96  modes: deletion, deletion, substitution, correct
                   'בחר' frag 0.96  modes: substitution, substitution, deletion, correct
                   'אבל' frag 0.96  modes: deletion, substitution, deletion, correct
              'работать' frag 0.96  modes: substitution, deletion, substitution, correct
                   'فاع' frag 0.96  modes: deletion, substitution, deletion, correct
                   'سبة' frag 0.96  modes: substitution, substitution, substitution, correct
                     'ம' frag 0.96  modes: substitution, deletion, deletion, deletion
                     '앉' frag 0.96  modes: deletion, deletion, deletion, correct
                     '늦' frag 0.96  modes: deletion, substitution, deletion, correct
                   'נסה' frag 0.96  modes: deletion, substitution, substitution, correct
                  ' באו' frag 0.96  modes: deletion, deletion, deletion, correct
                 ' כולו' frag 0.96  modes: deletion, deletion, substitution, correct
              ' рассмат' frag 0.96  modes: deletion, substitution, substitution, correct
                   'שוק' frag 0.96  modes: deletion, substitution, deletion, correct
                     '댁' frag 0.96  modes: deletion, deletion, deletion, correct
                     '𝗠' frag 0.96  modes: deletion, deletion, deletion, correct
                  'дачи' frag 0.96  modes: deletion, substitution, deletion, correct
                'larınd' frag 1.00  modes: substitution, deletion, substitution, correct
                     '吏' frag 1.00  modes: deletion, substitution, deletion, substitution
                     '𝄹' frag 1.00  modes: deletion, deletion, deletion, deletion
               'พื้นที่' frag 1.00  modes: deletion, substitution, deletion, substitution
               'ได้ง่าย' frag 1.00  modes: deletion, deletion, deletion, substitution
               'กระเป๋า' frag 1.00  modes: deletion, deletion, deletion, substitution
                     '燐' frag 1.00  modes: deletion, deletion, deletion, substitution
               'สนับสนุ' frag 1.00  modes: deletion, substitution, deletion, substitution
               'มากขึ้น' frag 1.00  modes: substitution, deletion, deletion, substitution
                   '��取' frag 1.00  modes: deletion, deletion, deletion, substitution
                'ארגוני' frag 1.00  modes: deletion, deletion, deletion, substitution
                  'הבנה' frag 1.00  modes: deletion, substitution, substitution, substitution
              ' สิงหาคม' frag 1.00  modes: deletion, deletion, deletion, deletion
              'ความเป็น' frag 1.00  modes: substitution, deletion, deletion, substitution
                   'แม้' frag 1.00  modes: deletion, deletion, substitution, substitution
                     '量' frag 1.00  modes: deletion, deletion, deletion, deletion
               'กิจกรรม' frag 1.00  modes: deletion, deletion, deletion, substitution
                 'มักจะ' frag 1.00  modes: deletion, deletion, deletion, deletion
              'แก้ปัญหา' frag 1.00  modes: deletion, deletion, deletion, deletion
               'น้ำหนัก' frag 1.00  modes: deletion, substitution, deletion, substitution

400 specimen records -> results/specimens_qwen3_235b_greedy.jsonl
markdown -> docs/specimens_qwen3_235b_greedy.md
