word,case,Qwen3-1.7B,Qwen2.5-7B,OLMo-2-7B,Qwen3.8-27B,Qwen3-32B,Qwen2.5-72B,Qwen3.8-Flash-Next,Qwen3-235B
according,lower,,,92%,,,,,
According,Title,,,,,,,,
Accordingly,Title,,29%,,,,0%,,
accordingly,lower,,,,,,,,
Adapt,Title,12%,,,,0%,,,4%
adapt,lower,,,,,,,,
due,lower,,,42%,,,,,
Due,Title,,,0%,,,,,
Invent,Title,,12%,,,,0%,,
invent,lower,,,,,,,,
Marshal,Title,46%,0%,,,fails alone,0%,,0%
marshal,lower,,,,,,,,
Naming,Title,,12%,,,,0%,,
naming,lower,,,,,,,,
Obviously,Title,,17%,,,,0%,,0%
obviously,lower,,,,,,,,
Passage,Title,,21%,,,,0%,,
passage,lower,,,,,,,,
Presenter,Title,,21%,,,,0%,,
presenter,lower,,,,,,,,
Printing,Title,,12%,,,,0%,,
printing,lower,,,,,,,,
Replay,Title,,29%,,,,0%,,
replay,lower,,,,,,,,
Replies,Title,,12%,,,,12%,,
replies,lower,,,,,,,,
Sorry,Title,21%,0%,,0%,0%,0%,0%,0%
sorry,lower,,,,,,,,
Starter,Title,,21%,,,,0%,,
starter,lower,,,,,,,,
Translate,Title,,29%,4%,0%,,4%,fails alone,0%
translate,lower,,,,,,,,
Typically,Title,,17%,,,,0%,,0%
typically,lower,,,,,,,,
User,Title,0%,17%,,,0%,0%,,0%
user,lower,,,0%,,,,,
Yourself,Title,,12%,,,,0%,,
yourself,lower,,,,,,,,
